path,status,resolution,required_proof
.gitattributes,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
.github/workflows/tests.yml,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
.gitignore,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
AGENTS.md,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
agent/agent_init.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
agent/agent_runtime_helpers.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
agent/anthropic_adapter.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
agent/auxiliary_client.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
agent/chat_completion_helpers.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
agent/codex_runtime.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
agent/conversation_compression.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
agent/conversation_loop.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
agent/credential_pool.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
agent/image_routing.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
agent/pet/generate/atlas.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
agent/pet/generate/orchestrate.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
agent/process_bootstrap.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
agent/prompt_builder.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
agent/shell_hooks.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
agent/skill_commands.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
agent/skill_utils.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
agent/ssl_guard.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
agent/system_prompt.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
agent/transports/codex.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
agent/turn_context.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
agent/turn_finalizer.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
apps/desktop/e2e/sidebar-states.spec.ts,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
apps/desktop/e2e/tile-unread-bug.spec.ts,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
apps/desktop/src/app/chat/sidebar/session-row-state.test.ts,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
cli-config.yaml.example,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
cli.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
docs/design/profile-builder.md,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
docs/plans/2026-06-09-003-fix-telegram-stream-overflow-continuations-plan.md,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
gateway/kanban_watchers.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
gateway/lifecycle_ledger.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
gateway/platforms/base.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
gateway/run.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
gateway/shutdown_watchdog.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
gateway/slash_commands.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
gateway/status.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/auth.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/auth_commands.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/bundles.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/commands.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/config.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/config_defaults.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/curator.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/dep_ensure.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/doctor.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/gateway.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/gateway_windows.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/kanban.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/kanban_db.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/main.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/mcp_config.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/plugins.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/profiles.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/runtime_provider.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/service_manager.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/skills_hub.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/status.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/subcommands/profile.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/tools_config.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/uninstall.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/update_cmd.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/web_routers/profiles.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_cli/web_server.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_constants.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
hermes_state.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
model_tools.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
plugins/dashboard_auth/basic/__init__.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
plugins/dashboard_auth/nous/__init__.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
plugins/dashboard_auth/self_hosted/__init__.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
plugins/memory/__init__.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
plugins/platforms/feishu/adapter.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
pyproject.toml,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
run_agent.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
scripts/check_subprocess_stdin.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
scripts/install.ps1,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
scripts/run_tests_parallel.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
tests/agent/conftest.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
tests/agent/test_anthropic_adapter.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
tests/agent/test_anthropic_keychain.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
tests/agent/test_api_call_ttfb.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
tests/agent/test_codex_app_server_persist.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
tests/agent/test_credential_pool.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
tests/agent/test_credential_pool_routing.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
tests/agent/test_nous_oauth_401_guidance.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
tests/agent/test_prompt_builder.py,MERGE_RESOLVED,Committed in 97633709cf; see integration-stage1 through stage9 and candidate diff against both parents,Focused evidence in candidate-test-evidence.json; not a whole-repo proof claim
